bm-tfidf(eig)-13: {'nmi': 11.434, 'ari': 5.1234, 'acc': 18.4042, 'loss': 0.027}
bm-tfidf(eig)-14: {'nmi': 11.32, 'ari': 5.1955, 'acc': 18.7067, 'loss': 0.0272}
bm-tfidf(eig)-15: {'nmi': 11.4815, 'ari': 5.3144, 'acc': 18.69, 'loss': 0.0266}
bm-tfidf(eig)-16: {'nmi': 11.8417, 'ari': 5.5582, 'acc': 19.1812, 'loss': 0.026}
bm-tfidf(eig)-17: {'nmi': 10.9803, 'ari': 5.0065, 'acc': 18.1428, 'loss': 0.026}
bm-tfidf(eig)-18: {'nmi': 10.5449, 'ari': 4.8032, 'acc': 17.7845, 'loss': 0.0251}
bm-tfidf(eig)-19: {'nmi': 12.3131, 'ari': 6.0036, 'acc': 19.5082, 'loss': 0.0253}
bm-tfidf(eig)-20: {'nmi': 13.1331, 'ari': 6.8026, 'acc': 20.4225, 'loss': 0.0239}
bm-tfidf(eig)-21: {'nmi': 12.343, 'ari': 6.2072, 'acc': 19.6298, 'loss': 0.0263}
bm-tfidf(eig)-22: {'nmi': 12.449, 'ari': 6.3683, 'acc': 19.765, 'loss': 0.0258}
bm-tfidf(eig)-23: {'nmi': 14.4442, 'ari': 7.9674, 'acc': 21.9095, 'loss': 0.025}
bm-tfidf(eig)-24: {'nmi': 15.5006, 'ari': 8.6873, 'acc': 22.9285, 'loss': 0.0246}
bm-tfidf(eig)-25: {'nmi': 15.5533, 'ari': 8.6089, 'acc': 23.1467, 'loss': 0.0246}
bm-tfidf(eig)-26: {'nmi': 15.9042, 'ari': 9.1162, 'acc': 23.3363, 'loss': 0.0251}
bm-tfidf(eig)-27: {'nmi': 15.6511, 'ari': 8.7541, 'acc': 22.987, 'loss': 0.0239}
bm-tfidf(eig)-28: {'nmi': 15.7074, 'ari': 9.0748, 'acc': 23.3135, 'loss': 0.0249}
bm-tfidf(eig)-29: {'nmi': 15.4002, 'ari': 8.7994, 'acc': 23.0205, 'loss': 0.0235}
bm-tfidf(eig)-30: {'nmi': 15.9833, 'ari': 9.1286, 'acc': 23.4663, 'loss': 0.0239}
bm-tfidf(eig)-31: {'nmi': 16.2803, 'ari': 9.453, 'acc': 23.896, 'loss': 0.0238}
bm-tfidf(eig)-32: {'nmi': 15.6196, 'ari': 9.0248, 'acc': 23.2317, 'loss': 0.0239}
bm-tfidf(eig)-33: {'nmi': 15.9424, 'ari': 9.2921, 'acc': 23.8208, 'loss': 0.0229}
bm-tfidf(eig)-34: {'nmi': 16.3948, 'ari': 9.7584, 'acc': 24.1698, 'loss': 0.0233}
bm-tfidf(eig)-35: {'nmi': 16.2123, 'ari': 9.5626, 'acc': 23.9503, 'loss': 0.0228}
bm-tfidf(eig)-36: {'nmi': 15.9624, 'ari': 9.5353, 'acc': 24.0265, 'loss': 0.0242}
bm-tfidf(eig)-37: {'nmi': 16.1262, 'ari': 9.535, 'acc': 24.108, 'loss': 0.0227}
bm-tfidf(eig)-38: {'nmi': 15.4585, 'ari': 9.0823, 'acc': 23.2242, 'loss': 0.0244}
bm-tfidf(eig)-39: {'nmi': 16.1491, 'ari': 9.6137, 'acc': 23.882, 'loss': 0.0226}
bm-tfidf(eig)-40: {'nmi': 17.8607, 'ari': 10.7886, 'acc': 25.7062, 'loss': 0.0227}
bm-tfidf(eig)-41: {'nmi': 18.4248, 'ari': 11.1866, 'acc': 26.0645, 'loss': 0.0238}
